জমি নং,মৌসুম,অঞ্চল,ফসল,লক্ষ্যমাত্রা ফলন (কেজি/শতাংশ),ইউরিয়া (গ্রাম/শতাংশ),টিএসপি/ডিএপি (গ্রাম/শতাংশ),এমওপি (গ্রাম/শতাংশ),জিপসাম (গ্রাম/শতাংশ),ম্যাগনেসিয়াম সালফেট (গ্রাম/শতাংশ),জিঙ্ক সালফেট (হেপ্টা হাইড্রেট) (গ্রাম/শতাংশ),বোরিক এসিড (গ্রাম/শতাংশ),জৈবসার (কেজি/শতাংশ)
১,রবি,ঠাকুরগাঁও,বোরো,৩০,১৫২৯,২৪৩,৯৭২,৪০৮,০,৫৮,০,৮
১,রবি,পঞ্চগড়,বোরো,৩০,১৫২৯,২৪৩,৯৭২,৪০৮,০,৫৮,০,৮
১,রবি,দিনাজপুর উত্তর,বোরো,৩০,১৫২৯,২৪৩,৯৭২,৪০৮,০,৫৮,০,৮
১,রবি,দিনাজপুর পশ্চিম,বোরো,৩০,১৫২৯,২৪৩,৯৭২,৪০৮,০,৫৮,০,৮
১,খরিফ-১,ঠাকুরগাঁও,পতিত,০,০,০,০,০,০,০,০,০
১,খরিফ-১,পঞ্চগড়,পতিত,০,০,০,০,০,০,০,০,০
১,খরিফ-১,দিনাজপুর উত্তর,পতিত,০,০,০,০,০,০,০,০,০
১,খরিফ-১,দিনাজপুর পশ্চিম,পতিত,০,০,০,০,০,০,০,০,০
১,খরিফ-২,ঠাকুরগাঁও,রো. আমন,২৪,৭৯১,১২১,৫২৫,১৬৩,০,১৯,০,০
১,খরিফ-২,পঞ্চগড়,রো. আমন,২৪,৭৯১,১২১,৫২৫,১৬৩,০,১৯,০,০
১,খরিফ-২,দিনাজপুর উত্তর,রো. আমন,২৪,৭৯১,১২১,৫২৫,১৬৩,০,১৯,০,০
১,খরিফ-২,দিনাজপুর পশ্চিম,রো. আমন,২৪,৭৯১,১২১,৫২৫,১৬৩,০,১৯,০,০
২,রবি,ঠাকুরগাঁও,ভুট্টা,৪৪,২১০৯,৭২৯,১০৯৩,৮১৬,৬৩৮,৭৭,৪৮,১২
২,রবি,পঞ্চগড়,ভুট্টা,৪৪,২১০৯,৭২৯,১০৯৩,৮১৬,৬৩৮,৭৭,৪৮,১২
২,রবি,দিনাজপুর উত্তর,ভুট্টা,৪৪,২১০৯,৭২৯,১০৯৩,৮১৬,৬৩৮,৭৭,৪৮,১২
২,রবি,দিনাজপুর পশ্চিম,ভুট্টা,৪৪,২১০৯,৭২৯,১০৯৩,৮১৬,৬৩৮,৭৭,৪৮,১২
২,খরিফ-১,ঠাকুরগাঁও,পতিত,০,০,০,০,০,০,০,০,০
২,খরিফ-১,পঞ্চগড়,পতিত,০,০,০,০,০,০,০,০,০
২,খরিফ-১,দিনাজপুর উত্তর,পতিত,০,০,০,০,০,০,০,০,০
২,খরিফ-১,দিনাজপুর পশ্চিম,পতিত,০,০,০,০,০,০,০,০,০
২,খরিফ-২,ঠাকুরগাঁও,রো. আমন,২৪,৭৯১,১২১,৪২৬,১৬৩,০,৩৯,০,০
২,খরিফ-২,পঞ্চগড়,রো. আমন,২৪,৭৯১,১২১,৪২৬,১৬৩,০,৩৯,০,০
২,খরিফ-২,দিনাজপুর উত্তর,রো. আমন,২৪,৭৯১,১২১,৪২৬,১৬৩,০,৩৯,০,০
২,খরিফ-২,দিনাজপুর পশ্চিম,রো. আমন,২৪,৭৯১,১২১,৪২৬,১৬৩,০,৩৯,০,০
৩,রবি,ঠাকুরগাঁও,আলু,১২০,১১৮৬,৪০৫,১০৯৩,৩৪০,৪২৫,৫৮,৩৬,১২
৩,রবি,পঞ্চগড়,আলু,১২০,১১৮৬,৪০৫,১০৯৩,৩৪০,৪২৫,৫৮,৩৬,১২
৩,রবি,দিনাজপুর উত্তর,আলু,১২০,১১৮৬,৪০৫,১০৯৩,৩৪০,৪২৫,৫৮,৩৬,১২
৩,রবি,দিনাজপুর পশ্চিম,আলু,১২০,১১৮৬,৪০৫,১০৯৩,৩৪০,৪২৫,৫৮,৩৬,১২
৩,খরিফ-১,ঠাকুরগাঁও,ভুট্টা,২৮,১৪৭৬,৩০৬,৪৯৭,৩৪৩,৪২৫,৩৯,০,০
৩,খরিফ-১,পঞ্চগড়,ভুট্টা,২৮,১৪৭৬,৩০৬,৪৯৭,৩৪৩,৪২৫,৩৯,০,০
৩,খরিফ-১,দিনাজপুর উত্তর,ভুট্টা,২৮,১৪৭৬,৩০৬,৪৯৭,৩৪৩,৪২৫,৩৯,০,০
৩,খরিফ-১,দিনাজপুর পশ্চিম,ভুট্টা,২৮,১৪৭৬,৩০৬,৪৯৭,৩৪৩,৪২৫,৩৯,০,০
৩,খরিফ-২,ঠাকুরগাঁও,রো. আমন,২৪,৭৯১,১২১,৪২৬,১৬৩,০,১৯,০,০
৩,খরিফ-২,পঞ্চগড়,রো. আমন,২৪,৭৯১,১২১,৪২৬,১৬৩,০,১৯,০,০
৩,খরিফ-২,দিনাজপুর উত্তর,রো. আমন,২৪,৭৯১,১২১,৪২৬,১৬৩,০,১৯,০,০
৩,খরিফ-২,দিনাজপুর পশ্চিম,রো. আমন,২৪,৭৯১,১২১,৪২৬,১৬৩,০,১৯,০,০
৪,রবি,ঠাকুরগাঁও,সরিষা,৭.২,৭৯১,৩২৪,৪৮৬,৩৪০,২১৩,৩৯,২৪,১২
৪,রবি,পঞ্চগড়,সরিষা,৭.২,৭৯১,৩২৪,৪৮৬,৩৪০,২১৩,৩৯,২৪,১২
৪,রবি,দিনাজপুর উত্তর,সরিষা,৭.২,৭৯১,৩২৪,৪৮৬,৩৪০,২১৩,৩৯,২৪,১২
৪,রবি,দিনাজপুর পশ্চিম,সরিষা,৭.২,৭৯১,৩২৪,৪৮৬,৩৪০,২১৩,৩৯,২৪,১২
৪,রবি,ঠাকুরগাঁও,বোরো,২৪,১২১২,১২১,৬২২,২০৪,০,৩৯,০,০
৪,রবি,পঞ্চগড়,বোরো,২৪,১২১২,১২১,৬২২,২০৪,০,৩৯,০,০
৪,রবি,দিনাজপুর উত্তর,বোরো,২৪,১২১২,১২১,৬২২,২০৪,০,৩৯,০,০
৪,রবি,দিনাজপুর পশ্চিম,বোরো,২৪,১২১২,১২১,৬২২,২০৪,০,৩৯,০,০
৪,খরিফ-১,ঠাকুরগাঁও,পতিত,০,০,০,০,০,০,০,০,০
৪,খরিফ-১,পঞ্চগড়,পতিত,০,০,০,০,০,০,০,০,০
৪,খরিফ-১,দিনাজপুর উত্তর,পতিত,০,০,০,০,০,০,০,০,০
৪,খরিফ-১,দিনাজপুর পশ্চিম,পতিত,০,০,০,০,০,০,০,০,০
৪,খরিফ-২,ঠাকুরগাঁও,রো. আমন,২৪,৭৯১,১২১,৫২৫,১৬৩,০,১৯,০,০
৪,খরিফ-২,পঞ্চগড়,রো. আমন,২৪,৭৯১,১২১,৫২৫,১৬৩,০,১৯,০,০
৪,খরিফ-২,দিনাজপুর উত্তর,রো. আমন,২৪,৭৯১,১২১,৫২৫,১৬৩,০,১৯,০,০
৪,খরিফ-২,দিনাজপুর পশ্চিম,রো. আমন,২৪,৭৯১,১২১,৫২৫,১৬৩,০,১৯,০,০
৫,রবি,ঠাকুরগাঁও,গম ,১৬,১০৫৪,৪০৫,৭২৯,৩৪০,৩৪০,৫৮,৪৮,৮
৫,রবি,পঞ্চগড়,গম ,১৬,১০৫৪,৪০৫,৭২৯,৩৪০,৩৪০,৫৮,৪৮,৮
৫,রবি,দিনাজপুর উত্তর,গম ,১৬,১০৫৪,৪০৫,৭২৯,৩৪০,৩৪০,৫৮,৪৮,৮
৫,রবি,দিনাজপুর পশ্চিম,গম ,১৬,১০৫৪,৪০৫,৭২৯,৩৪০,৩৪০,৫৮,৪৮,৮
